Summary at end of file
----------------------------------------------------------------------
Bucket	Keys
147	MCCARSON
148	EMPTY
149	DELAHUNT
150	EMPTY
151	HINOKAWA; BIEKER
152	HEINZELMAN; CAMBLE
153	VOLTAIRE; RONSANI
154	STOKAN
155	WAYDE; CALHAUN
156	EMPTY
157	SESAREO; BRUMBALOW
158	PLOTNER
159	EMPTY
160	MIKKELSON; MEIKLE
161	KIVISTO; DUNNINGTON
162	EMPTY
163	MOORE
164	KRAKOWIAK
165	EMPTY
166	BOGUE
167	BOLDOSSER
168	VERHAEGHE
169	VANLUE
170	CHIMENTI; DETERS
171	EMPTY
172	HENTSCHEL
173	ROTANDO
174	KURSHUK
175	BALKUS
176	PENDL; CHIMENTO; BACKSTROM; AMMONS
177	CUTHER; HARTVIGSEN; MOORS
178	SWATMAN; LUISI; BLOODWORTH
179	CHALENDER; CROOKE; COMEAU; JACKSON
180	BOGUS
181	BOGUT; FRAUNFELTER
182	FUTCH
183	HAIRELL
184	SCRIMSHER; JUARIQUI; TIRINO; LUISO
185	MYNATT
186	EMPTY
187	EMPTY
188	NEEDAM; BODAMER
189	EMPTY
190	EISCHEN; FLITTER
191	KAMINETZKY; AMOROSE
192	MOOSA
193	GONZOLES; FIQUEROA; CROOKS
194	MCCOARD; HILDEN
195	AMOROSI
196	MOOSE
197	JUREWICZ
198	EMPTY
199	DETESO
200	GONZOLEZ; BOURGEAULT
201	AMOROSO
202	MCCORVEY
203	JINKERSON
204	EMPTY
205	EMPTY
206	EMPTY
207	OOSTERHOF
208	MATHYS
209	ROZMUS
210	STAMISON; PICAZO
211	EMPTY
212	POLTON
213	EMPTY
214	EMPTY
215	EMPTY
216	KENEKHAM
217	EKWALL
218	HEWARD
219	NOMURA
220	EMPTY
221	FLOORE
222	EMPTY
223	PENEZ
224	SANJOSE
225	HANSTINE
226	PREAST; HARRIGAN
227	EMPTY
228	PINCKLEY
229	MOOTE; MCMAKEN; SHEROAN
230	KIRSCHBAUM
231	EMPTY
232	EMPTY
233	EMPTY
234	TROKEY
235	PFLUGER; KLIMA
236	EMPTY
237	SKRINE
238	WEIDEN
239	EMPTY
240	MTHIMUNYE
241	KELTNER
242	BESSEMER; WEIDER
243	MOOTS
244	HEIMBIGNER; CULVERHOUSE; SHUNNARAH
245	EMPTY
246	SHRIGLEY; SIEGAL
247	EMPTY
248	EMPTY
249	KLIMO; FROEBE; MCMARLIN; MOOTY; AKERS
250	MOOTZ
251	EMPTY
252	WASZKIEWICZ
253	EMPTY
254	PREATO; MCKERLEY
255	AKERY; DADDS; GURWELL
256	REQUARTH
257	MARSEILLE
258	EMPTY
259	OSHMAN; CROOMS; AINSWORTH
260	GAWLAK
261	IONESCU
262	EMPTY
263	EMPTY
264	ACKERMANN
265	EMPTY
266	VERITY
267	EMPTY
268	GAWLAS
269	EMPTY
270	LARANJO
271	EMPTY
272	EUNICE; KLINE
273	ASTRUP
274	KLING
275	EMPTY
276	NISHITANI; MATHSON
277	EMPTY
278	KLINK
279	EMPTY
280	SGRIGNOLI
281	EMPTY
282	POLDRACK
283	KEENOM; PLOTNIK
284	STOKEL; BRIMMAGE
285	EMPTY
286	EMPTY
287	KLINT
288	EMPTY
289	MERRELL
290	DRAGOVICH; STOKER
291	STOKES
292	MILDERBERGER; TROJILLO
293	GONCALVES
294	CUMPTON; DADEY
295	EMPTY
296	EALAND; BODKINS
297	PENHA; STOKEY
298	LIPFORD
299	KINION; WATERHOUSE
300	HEWATT; MANDELBAUM
301	DENUNZIO
302	EMPTY
303	ROHRBACHER
304	EMPTY
305	KETHCART; GAMMELL
306	EMPTY
307	SCARLES
308	SCARLET
309	CRENWELGE
310	BUNSON
311	MENIST
312	EMPTY
313	EMPTY
314	EMPTY
315	EMPTY
316	EMPTY
317	EMPTY
318	EMPTY
319	HEMEON
320	ROCKMAN
321	EMPTY
322	EMPTY
323	GONTHIER
324	BAYLOCK
325	EMPTY
326	LETSCHER
327	ZULLO
328	EMPTY
329	EMPTY
330	EMPTY
331	MARCHBANKS
332	BIRDSEY
333	EMPTY
334	EMPTY
335	CLAYTER
336	LEIGHTY
337	EMPTY
338	EMPTY
339	EMPTY
340	CARLSTON
341	EMPTY
342	EMPTY
343	PEATRY
344	DILTHEY
345	YONEDA
346	CAMBRA
347	EMPTY
348	EMPTY
349	KLIPP; ELVERS
350	ELVERT; MENITZ; HEADD; CAMBRE
351	HEADE
352	STENSLIEN
353	HAYMAKER; PENIX
354	EMPTY
355	EMPTY
356	CUTTLER; DOMAGALA
357	EMPTY
358	EMPTY
359	EMPTY
360	EMPTY
361	MCMAKIN
362	ARAVJO; HARRIGER
363	WEIDIG; GALICIA
364	BRAD
365	HEADS
366	MCKERLIE
367	DOMAGALL
368	BRAH; MACCARONE
369	GUDERIAN; LIBURD
370	VASTOLA
371	BRAK; HEADY
372	DIPIERRO; VANVLECK
373	BRAM
374	BRAN
375	EMPTY
376	EMPTY
377	RANDAHL
378	BRAR; SIEGEL
379	BRAS; CUENCA
380	SIBBALD
381	BRAU
382	NEWSTEAD; MESSA; CARIGNAN
383	EMPTY
384	SIEGER
385	BRAY
386	BRAZ
387	EMPTY
388	EMPTY
389	MEHRTENS
390	EMPTY
391	HUNNEYMAN
392	EMPTY
393	EMPTY
394	EMPTY
395	ELLING
396	SEIBT; SOEHL
397	VELTKAMP
398	GUIBERTEAU; PISTORIUS; BERKSON
399	EMPTY
400	GWATHNEY
401	EMPTY
402	EMPTY
403	EMPTY
404	BUSQUE; MCDAY; BREUNINGER
405	EMPTY
406	EMPTY
407	EMPTY
408	EMPTY
409	KINIRY
410	EMPTY
411	EMPTY
412	MANLANGIT
413	HASSING
414	PALASPAS
415	AGYEMAN; MESTA
416	COWANS; PICHARDO
417	WOLFARD; HUDGINS
418	CZELUSNIAK; ORGERON
419	EMPTY
420	EMPTY
421	EMPTY
422	RYLOWICZ
423	ALSBROOK
424	BRUDNICKI
425	EMPTY
426	EMPTY
427	CELANI
428	EMPTY
429	VILLAFLOR
430	BARCELONA; YOXALL
431	EMPTY
432	SWARTZMILLER; OZBUN; BRUMLEY
433	CELANO; SPARGO
434	KOSCIELAK
435	EMPTY
436	EMPTY
437	EMPTY
438	IFVERSEN
439	SCHLICHTING
440	KLISH
441	ELLIOT
442	EMPTY
443	GROENING; VARDARO; LANTER
444	EMPTY
445	EMPTY
446	CLAGHORN
447	SEIDE; VANVLEET; AKERMAN; ESPADA
448	FAGGARD; FRITSCHE
449	EMPTY
450	LANTEY
451	LIEDER; BOLINGER
452	EMPTY
453	KOFRON
454	SEIDL
455	PORIETIS
456	EMPTY
457	EMPTY
458	FLEISCHNER
459	EMPTY
460	EMPTY
461	EMPTY
462	SEIDT; VOSMUS
463	LEFELD
464	MODAFFERI
465	EMPTY
466	EMPTY
467	EMPTY
468	SMIDDY
469	EMPTY
470	HEAGY
471	KRESSLER; ARICAS; CHICLES; CHERRETTE; LEPARD
472	LEADMAN; TRIGUEIRO
473	EMPTY
474	BANDARRA; SILVERTOOTH
475	STOKKE
476	RADEMAN
477	EMPTY
478	EMPTY
479	KUEHNEL
480	NAJARRO
481	KEENUM
482	SHIVLEY
483	EMPTY
484	EMPTY
485	KUEHNER; WAYNE; CHAMBERS
486	EMPTY
487	EMPTY
488	EMPTY
489	UERKWITZ
490	EMPTY
491	TINELLI; KLITZ
492	EMPTY
493	BREA; SEIER; KATTNER
494	HEIERMANN; GARNER
495	PENNA; GARNES
496	GARNET; COUPLAND
497	BREE
498	EMPTY
499	WAYNS
500	RHEINGOLD
501	BREI; GARNEY
502	EMPTY
503	EMPTY
504	EMPTY
505	BREM; SHARPSTEEN; MATIAS
506	BUNDLEY; BREN
507	BREDEWEG; WOELFEL; HOLMQUIST
508	EMPTY
509	CAMPANARO; RANDALL
510	CRESON
511	EMPTY
512	ARREDONDO
513	BREU
514	MYLAR; MINSTER
515	BREW
516	FLITTON; MILLBERG; KAPLAN
517	HELMSTETLER; BREY
518	BREZ
519	PENNY
520	EMPTY
521	FITSER; ELTER
522	CORTIJO; GIESELMAN
523	MILLBERN; RETZLER
524	GAWLIK; GOLDFARB
525	RAGAN
526	EMPTY
527	EMPTY
528	BASELER; GINSBURG
529	UECKERT; RAGAR
530	RAGAS; HINDERLITER
531	EMPTY
532	EMPTY
533	HEATWOLE; COWARD
534	HARJOCHEE
535	BASELEY
536	FAUSCETT
537	EMPTY
538	CRESPI
539	SULTEMEIER
540	EMPTY
541	EMPTY
542	FICKLEN
543	NEEDLE
544	MARGUARDT; CRESPO
545	BOBROW; GILDERSLEEVE
546	ESCHENBACH; GLASHEN
547	ZAVASKY; SCHARPMAN
548	EMPTY
549	IDELL; COWART
550	LEMAIRE
551	FREIER
552	EMPTY
553	EMPTY
554	KERNIGHAN; WHARRY
555	RONZONI
556	BILYEU
557	MATICE; ROIDER
558	ZICKUHR; WOJTKOWSKI
559	EMPTY
560	EMPTY
561	MERRETT; HOFFELT
562	MALCHOW
563	EMPTY
564	TOUSSIANT
565	MCDANNOLD; BARAJAS
566	EMPTY
567	EMPTY
568	EMPTY
569	SPARKS
570	EMPTY
571	IDEMA
572	EMPTY
573	EMPTY
574	CONTRENAS
575	EMPTY
576	LANTIS
577	FREDDRICK
578	EMPTY
579	EMPTY
580	EMPTY
581	EMPTY
582	EMPTY
583	EMPTY
584	PROVINE
585	EMPTY
586	EMPTY
587	EMPTY
588	EMPTY
589	CANCLINI
590	EMPTY
591	BLANQUART; OLOFSON
592	EMPTY
593	BOHAC
594	PROVINO; MIODUSZEWSKI; LAURSEN; HEFFINGTON
595	SCARINGE
596	EMPTY
597	EMPTY
598	PROVINS; BALLAM
599	BALLAN; SCARINGI; BUENROSTRO
600	EMPTY
601	SOENS; FIGUEREDO
602	SIEGLE; BINETTE
603	BALLAR; BOHAM; BERNADETTE; CRUMPACKER
604	BALLAS; BOHAN
605	COURCELLE
606	BINETTI
607	ECCLESTON
608	EMPTY
609	EMPTY
610	EMPTY
611	EMPTY
612	EMPTY
613	EMPTY
614	HEALD
615	RIBACK
616	EMPTY
617	EMPTY
618	EMPTY
619	EMPTY
620	EMPTY
621	CAZORLA; DANEKAS
622	EMPTY
623	EMPTY
624	EMPTY
625	BRIA
626	EMPTY
627	EMPTY
628	SUMMEROUR; TRUCHAN; PREUETT
629	DELLAGATTA; PENZERO
630	CINAR
631	TREOLA; HARTERT; LAUTERBORN
632	EMPTY
633	EMPTY
634	EMPTY
635	HEALY
636	KATCSMORAK; HARTERY; LIEDKE; MATIER
637	BRIM
638	BRIN
639	ESSEPIAN
640	DAPICE; CORTINA
641	EMPTY
642	EMPTY
643	EMPTY
644	KRAHENBUHL; BURRELL
645	EMPTY
646	MYLER
647	MYLES
648	SCONCE; BRIX
649	STIEGEMEIER
650	BRIZ; OWOLABI
651	RAUDEBAUGH
652	KAPLER; PUGLIA
653	CRESSY
654	EMPTY
655	RAGEL
656	EMPTY
657	AMADEO
658	MCCLARAN
659	EMPTY
660	PENSA
661	ROTHACHER; VOETSCH; RAGER; CLAYTON
662	CRESTA
663	EMPTY
664	BLISSET; PENSE; SAKUMOTO
665	CLAYTOR
666	EMPTY
667	FONTANELLA
668	EMPTY
669	MONDELL
670	ALDOUS; CANALES
671	EMPTY
672	EMPTY
673	EMPTY
674	ZATKO; PENSO; FICKLIN
675	EMPTY
676	CRESTO
677	CANALEZ
678	LUJAN
679	ZARRALUQUI
680	EMPTY
681	EMPTY
682	DOCKSTADER
683	HEANG
684	VODICKA
685	EMPTY
686	BALSIGER
687	EMPTY
688	EMPTY
689	EMPTY
690	EMPTY
691	SHROCK
692	EMPTY
693	CINCO; PENTA
694	EMPTY
695	EMPTY
696	EMPTY
697	WAYTS
698	SZEKULA; GRICE
699	STRYSKO
700	EMPTY
701	HEANY; GRICH
702	EMPTY
703	FREIJE; KUEHNLE
704	EMPTY
705	EMPTY
706	VENNEMAN
707	EMPTY
708	EMPTY
709	EMPTY
710	EMPTY
711	KIENTZY
712	AUBEL
713	BARTKIEWICZ; LOGINS; KINNEAR
714	PIERPONT
715	BENITONE; ALTOBELLI
716	SCANCARELLO
717	VERJAN
718	AUBER; SHRODE; PENTZ
719	EMPTY
720	CEMBURA
721	ALTOBELLO
722	BELBACK
723	FAGNONI; ORVIN
724	EMPTY
725	MACORENO; SEILS
726	NIVAR
727	EMPTY
728	BALLEK; BLYTH; ORVIS; RAGGS
729	STAHLER
730	EMPTY
731	WOELFLE; BALLEN
732	ARNALL
733	EMPTY
734	EMPTY
735	BALLER; CHADBURN
736	BALLES; STAHLEY; MCHUGH
737	EMPTY
738	WREEDE
739	EMPTY
740	POTASH; BALLEW
741	EMPTY
742	BALLEY
743	BALLEZ; KROGMAN
744	MORIWAKI
745	BHAIRO; FELONIA
746	LASCALA
747	HEAPE
748	EMPTY
749	GOODENBERGER
750	EMPTY
751	HERMENS
752	DANEKER
753	EMPTY
754	NORBECK
755	TOMALA
756	EMPTY
757	MUTANA; DELMONTE
758	MCCURLEY
759	PENDEGRAFT; HOFFERT
760	BRUMLOW
761	GRIEB; HEAPS
762	EMPTY
763	VANDEGRAAFF
764	EMPTY
765	GRIEF
766	EMPTY
767	ELLERBEE
768	EMPTY
769	LANTON
770	EMPTY
771	RYDELEK; SADOWSKI
772	GRIEM
773	EMPTY
774	MCCARTAN
775	GRIEP; AMUSO
776	EMPTY
777	ESPANA; GRIER
778	GRIES
779	EMPTY
780	KAPLIN
781	KENEALLY; TESKEY
782	CELAYA
783	GASSAWAY
784	EMPTY
785	SCHOGGEN; SHROFF; DRALLE; YOUSEF
786	EMPTY
787	SADOWSKY
788	EMPTY
789	AMADIO; RAGIN; BOLDING
790	MCCLAREN
791	BELAK
792	EMPTY
793	EMPTY
794	EMPTY
795	EMPTY
796	EMPTY
797	GRIFE; PROVITT; SQUEO
798	GRABAN
799	EMPTY
800	EMPTY
801	MCGUNAGLE; MANIKOWSKI
802	EMPTY
803	EMPTY
804	COATLEY
805	BELAY; GRABAU; LOVELESS
806	NEWBRAUGH
807	REIFLER
808	EMPTY
809	MAJESTIC
810	COTTERMAN; FROESE
811	EMPTY
812	GRIZZELL; HEARD
813	BOCKHORN; HEARE
814	EMPTY
815	SCERBO; MUEGGE
816	LITTICH
817	WALUND
818	EMPTY
819	SCHIEBEL; SWIMMER; DEMICCO
820	MESTROVICH; HEARL; CHARLTON
821	EMPTY
822	EHRICH; HEARN
823	GEERDES; SNOVER
824	EMPTY
825	SCHIEBER
826	BROD; MILLISON; LASCANO
827	BROE
828	HEART
829	GARNOW; BROG; CONSOLINI
830	MILLISOR; BAGNER; GILLMAN
831	GIELSTRA; ZIADA; VEASLEY
832	DENENBERG; GRIGG
833	EMPTY
834	EMPTY
835	BROM
836	SORNSEN; VORMELKER; BRON
837	EMPTY
838	EMPTY
839	IDEUE
840	EMPTY
841	EMPTY
842	GLADNEY
843	ZIMERMAN; HYSINGER; COTSIS
844	JOUNG
845	BROW
846	MESHEW; BROX; MCDOE; KAYWOOD; RENNINGER; AUBIN
847	BROY; ELTON
848	BROZ
849	EMPTY
850	EHLEITER
851	FELICIANO
852	EMPTY
853	GROWCOCK
854	BELCH; SEIPP; NIVEN
855	JARDEL; BALLIF
856	STANCZAK; LEAGUE
857	THOMLISON
858	PENYA; SCERCY; NIVER
859	VIXAYACK; NIVES
860	EMPTY
861	EMPTY
862	SCHNEIDERMAN
863	SLOGERIS; BALLIN
864	MCDOW
865	KOMINSKI
866	DALLAGO
867	STECKLER
868	DREESSEN; STCYR
869	RAPONE
870	EMPTY
871	SEACREST
872	EMPTY
873	RIZZOLO; SPARTZ; RAPONI
874	STECKLEY
875	EMPTY
876	EMPTY
877	HANGER
878	GUTZLER
879	LANTRY; RAGLE
880	MACKEEN; TRIPLETT
881	EMPTY
882	VANLAERE; BURRESS; HEATH
883	EMPTY
884	EMPTY
885	EMPTY
886	CAMCAM; VEDIA; WALTERSHEID
887	EMPTY
888	MCSPIRIT
889	EMPTY
890	EMPTY
891	PENZA; LONGTIN
892	EMPTY
893	EMPTY
894	MCGAVIN; VANECEK
895	EMPTY
896	EMPTY
897	LANGNER
898	SEEGOBIN; TURNBULL
899	EMPTY
900	EMPTY
901	EMPTY
902	VANDEKIEFT
903	EMPTY
904	EMPTY
905	EMPTY
906	EMPTY
907	EMPTY
908	MUTART; HARVISTON
909	EMPTY
910	MCCARTER
911	EMPTY
912	EMPTY
913	EMPTY
914	PLEXICO; GALLIGHER
915	WOESTER; EABY
916	EMPTY
917	GHEBREMICAEL; YOUSIF
918	HERNANDE
919	SILUIS; ESCARENO
920	DALBECK; NORLAND; OLIVERAS
921	EMPTY
922	WESSELINK; MCCLARIN
923	BLYZE
924	EMPTY
925	EMPTY
926	BELEN
927	EMPTY
928	GRABEL; HIRPARA; HERNANDO
929	EMPTY
930	GELDRICH; GRABEN
931	PLESKAC
932	EMPTY
933	EMPTY
934	GRABER
935	LANTTO; BELEW
936	GROENENDYK; AUBLE
937	MENJES; BELEY
938	EMPTY
939	HERNANDZ
940	RENSING; BEKKER
941	ITURRALDE
942	STEENROD; SEISE
943	EMPTY
944	EMPTY
945	EMPTY
946	WITHERBEE; CERRANO
947	STEVENS
948	EMPTY
949	EMPTY
950	ODNEAL; JUCKETT
951	KOSSACK
952	MUNSTERMANN
953	EMPTY
954	BELFI; INGUARDSEN; LOISELLE
955	RAGNO
956	OBNEGON; BUSBOOM; VERDONE
957	EMPTY
958	LASCARO
959	EMPTY
960	EMPTY
961	KISHEL; PARISIAN; EADE
962	HAROOTUNIAN; CLEVETTE
963	EMPTY
964	EMPTY
965	TANGARI
966	GILLMER
967	TOMARO; FREIRE
968	EMPTY
969	CECCARELLI
970	BELFY; FREDERIC
971	TANGARO; SCONTRAS; HIGHMAN
972	HERNANEZ; MEINBERG; OKONEK
973	COVILLE
974	EMPTY
975	EADS
976	EMPTY
977	POULIOTTE
978	SEITH
979	EMPTY
980	EMPTY
981	EADY
982	CALLABRASS
983	NABAVIAN
984	EMPTY
985	STANCOMBE
986	GARNTO; AMADON
987	HERDER; RAGON
988	HERDES; WATCHMAN
989	SHROLL; JARDIN
990	KURTER; AMADOR
991	EMPTY
992	FLAGIELLO; YOUSKO; MCCARTHA; MARTOWSKI; RUDISILL
993	TOMASH
994	LAGGAN; TOMASI
995	EMPTY
996	MAGOBET; SEITZ
997	EMPTY
998	EMPTY
999	EMPTY
1000	CUZCO; FREISE; WEATHERSBEE
1001	KEESLING; WHITCOMB
1002	FROLICH; PRONOVOST; PERELLA; INGHRAM; GRILL
1003	FENGER
1004	WHITCOME
1005	KIESSER; JENTRY; CHINEN
1006	EMPTY
1007	EMPTY
1008	EMPTY
1009	STOMMES; NEUGENT
1010	PLESNARSKI
1011	LAPRADD
1012	BANDASAK; SOBANIA; LAPRADE
1013	EMPTY
1014	GLUECK
1015	SPRUANCE
1016	MALOTTE; TAVERNIER; MCCARTHY
1017	RHUDE; MOTLEY
1018	WINTHROP; ISENHART
1019	CABELLERO; HARAGUCHI; BROUGHTON
1020	EMPTY
1021	ARNAUD; EMFINGER; HINTON
1022	WORSFOLD; SABLAN
1023	DUPASS; CAPORALE
1024	GRIMA; BOHNE
1025	BRUE
1026	RONAYNE; METER
1027	EMPLEO; BARAJOS; BRUG; CAPORALI; PIERCE
1028	BRUH; RISKIN; GRIME; SEPEDA
1029	HOSHAW; KOSAKOWSKI
1030	RAPOSA
1031	BRUK; KINATYAN; MEILER; STEGEMAN
1032	EMPTY
1033	BRUM
1034	RAPOSE; BRUN
1035	EMPTY
1036	GRIMM
1037	RHUDY
1038	MCCARTIN; THORTON
1039	BRUS; LAPORTA
1040	TANKXLEY; HAMACHER
1041	EMPTY
1042	GRIMS
1043	LAPORTE
1044	SMITHHISLER; RAPOSO
1045	EMPTY
1046	EMPTY
1047	WESTWOOD; PIERCY
1048	ROMBULT
1049	CARAIG
1050	CAMENISCH
1051	EMPTY
1052	OLIVERES
1053	EMPTY
1054	BALLOG; BARCZAK
1055	EMPTY
1056	EMPTY
1057	ALIOTTA
1058	BELIN
1059	LAVALA
1060	EMPTY
1061	GRINE; BALLON
1062	DUPATY
1063	SIEDLIK; GUYTON
1064	BOHOL
1065	ANDRULIS
1066	BOHON
1067	FLICKER
1068	BALLOU
1069	BUNTEN; CHESHER; PREBLE
1070	BELIZ; BALLOW
1071	LEAPHEART
1072	HAMSTRA; ZUMBA
1073	EMPTY
1074	EMPTY
1075	BLACKMOND; AIRHART
1076	EMPTY
1077	EMPTY
1078	ALTWIES; MCKELLIPS; DIFILIPPO
1079	HEAVILIN; METGE
1080	EAGY
1081	EMPTY
1082	EMPTY
1083	EMPTY
1084	EMPTY
1085	MATISE; FLETES
1086	LARBI; ZUMBO
1087	EMPTY
1088	ANEWALT
1089	LONGTON
1090	TRUCHON; ENAMORADO
1091	EMPTY
1092	LEGASSIE
1093	DOPLER; MALINCONICO; PARISIEN
1094	EMPTY
1095	EMPTY
1096	BERKBIGLER
1097	EMPTY
1098	RUHENKAMP
1099	HANBERRY
1100	EMPTY
1101	BIELAK; MOONEN
1102	EMPTY
1103	EMPTY
1104	EMPTY
1105	EMPTY
1106	EMPTY
1107	PINSONNEAULT
1108	GHERARDINI
1109	MACKELL
1110	BIELAT
1111	BELKA
1112	GLUCKMAN; METHE; BEDNARCZYK; MOONEY
1113	EMPTY
1114	EMPTY
1115	BELKE; ARCADIPANE
1116	DINGEE
1117	YANCEY
1118	LARCH; KURTIN
1119	EMPTY
1120	EMPTY
1121	DEELEY
1122	YANNAYON
1123	DINGEL; KURTIS
1124	EMPTY
1125	BELKO; MANGRICH
1126	EMPTY
1127	LOVERDE; NORTON
1128	EMPTY
1129	BIRSNER; DINGER
1130	DINGES
1131	LOVERDI
1132	HECKMANN; ORSBORN
1133	LAVANI; ARDERY; GRACZYK
1134	EMPTY
1135	USHIODA
1136	EMPTY
1137	EMPTY
1138	GRIPP
1139	CASTIGLIONE
1140	EMPTY
1141	METIA; SABLEA
1142	EMPTY
1143	LANTZY; SHKRELI; MCADORY
1144	LAVANT; BELLA; CERRATO
1145	WALLISER
1146	WILLOUGHBY
1147	EMPTY
1148	LARDE; BIELBY; BELLE
1149	EMPTY
1150	EMPTY
1151	EMPTY
1152	METIL; BELLI; GRABLE
1153	EMPTY
1154	ZEANAH; AUBRY
1155	KACHIROUBAS
1156	BRYD
1157	BRYE
1158	BELLO
1159	SABLES
1160	EMPTY
1161	LUBAHN; WALLBERG; GERSBACH
1162	STUEVER; SMESTAD; FIORANELLI; BELLS
1163	BRYK; RABINOVICH
1164	EMPTY
1165	HAULTER; LOZOWSKI; BOHRN
1166	LUEVANOS; OLIVERIA
1167	EMPTY
1168	MONTOOTH; STILPHEN; DURKINS
1169	KANIEWSKI
1170	EMPTY
1171	MAVROPOULOS; BRYS; CORDAS
1172	EMPTY
1173	CATCHPOLE; SIEGMUND
1174	EMPTY
1175	LAROUSSE
1176	KAPLUN
1177	LORANDEAU
1178	EMPTY
1179	EMPTY
1180	SEGOVIANO; OLIVERIO
1181	EMPTY
1182	EMPTY
1183	RADMACHER; MOERBE
1184	PARSHALL
1185	EMPTY
1186	EMPTY
1187	JARDON
1188	EMPTY
1189	EMPTY
1190	RAGUS
1191	GANGLER; ASTORINO
1192	GEHLHAUSEN
1193	JARDOT; ORENSTEIN
1194	EMPTY
1195	LARES
1196	EMPTY
1197	EMPTY
1198	WORMELY
1199	LAREW
1200	EMPTY
1201	LAREY; BUNTIN
1202	LAREZ; TIMLIN
1203	CLOZZA; YELVERTON
1204	EMPTY
1205	BRINGHAM; MARSHELL
1206	EAKS
1207	MOCTEZUMA
1208	BLACKMORE
1209	EMPTY
1210	VREDENBURGH
1211	MARENCO
1212	ZACHARIA
1213	EMPTY
1214	STARCHMAN; TREMBATH
1215	EMPTY
1216	EMPTY
1217	EMPTY
1218	EMPTY
1219	EMPTY
1220	EMPTY
1221	EMPTY
1222	CARANO; BARNHART
1223	EMPTY
1224	EMPTY
1225	LABIER; BIELEC
1226	GRISE
1227	HANZELY
1228	WINBORN
1229	EMPTY
1230	EMPTY
1231	ARELLANES
1232	SCANTLEN; GETSINGER
1233	MCASKILL
1234	GESMONDI
1235	YANCIK
1236	KIRCHEN; KOEPPEL
1237	EMPTY
1238	KOEPPEN; MEFFORD
1239	EMPTY
1240	BIELER; KIRCHER
1241	CLIPPINGER; GRIST
1242	KOEPPER
1243	EMPTY
1244	EMPTY
1245	EALY; NORBERG
1246	EMPTY
