Summary at end of file
----------------------------------------------------------------------
Bucket	Keys
270	EMPTY
271	HACKLEMAN
272	HILKERT; DERICK; SABATER; SWEETMAN
273	SABATES
274	BILLON; REEDUS
275	TRUIOLO
276	DERICO
277	EMPTY
278	DELLIVENERI
279	BOUDRIE
280	BILLOT; SAMMONS
281	EMPTY
282	WEHKING; RUNDQUIST
283	BILLOW; OSLAN
284	EMPTY
285	ABRANTES; MCINDOE; ACHORD
286	BOURLIER
287	KANDARIAN
288	EMPTY
289	EMPTY
290	HINTERMEISTER
291	JOWELL
292	EMPTY
293	LINDSAY
294	FRUSH
295	ACHORN
296	DEBROT
297	EMPTY
298	EMPTY
299	THURMER; EDMISTON
300	EMPTY
301	SHORTNACY
302	EMPTY
303	DROSSMAN; MEADEN; GOULBOURNE
304	BERGOLD; CHRISTENBERRY
305	ERB
306	EMPTY
307	MEADER
308	FILIAULT
309	EMPTY
310	SANFORD
311	HILLERS; KASSON
312	RAPIN
313	MATTERSON; MCAMIS
314	SELVAGGIO
315	EMPTY
316	ERM
317	HILLERY
318	ERO; KIRWAN
319	ERP
320	EMPTY
321	FREDERIQUE
322	WEHLING
323	BLANKEN
324	EMPTY
325	EMPTY
326	PONCE
327	EMPTY
328	EMPTY
329	ERZ
330	JACH
331	DECROO; KANOSH
332	MAUSSER
333	JACK
334	EMPTY
335	EMPTY
336	EMPTY
337	STINGLE; TOROMANIDES; VANSCYOC; JACO
338	DEVILLEZ
339	LIPANI
340	EMPTY
341	HANDREN
342	EMPTY
343	MARMAS; ODUMS
344	EMPTY
345	TANIOUS; MIMMS
346	KOZMA
347	ZEDIAN
348	EKHOLM; TEICH
349	BOLDEN
350	STEENSLAND
351	LEBOVIC
352	EMPTY
353	BOLDER
354	LIGON
355	KIMSEY; TEJADA
356	KERTIS
357	BAGNATO
358	EMPTY
359	LOKKE; GENEREUX; MAYORAL
360	EMPTY
361	EMPTY
362	COWLIN; VIVEIROS
363	EMPTY
364	DELCID
365	EHMANN; MUNGER
366	MAYORAS
367	EMPTY
368	LECLEIR
369	EMPTY
370	KACH
371	KEEFNER; ENTWISLE; WHIDDON
372	SHECK
373	OTTERBEIN; LEDEZMA
374	GUSSIN; CRENSHAW
375	KALMUS; ROSENBUSH; FINOCCHIARO
376	EMPTY
377	MAHEIA
378	SCHNAIR
379	EMPTY
380	EMPTY
381	EMPTY
382	KINSEL; RIDDELL
383	SCACCO
384	EMPTY
385	BAUGHMAN
386	EMPTY
387	EMPTY
388	KINSER
389	FLOYD
390	EMPTY
391	CANADA
392	EMPTY
393	OPHER; DARRAGH; BLUMER
394	EMPTY
395	LAMARCHE; KINSEY
396	EMPTY
397	ROSBOROUGH
398	PERANIO
399	SHIMSHAK
400	EMPTY
401	GUNDELACH
402	GUSTITUS; PEZZANO
403	SATOMBA
404	TURRUBIARTES
405	MUCCIGROSSO
406	BHATTACHARYA
407	LACE; ABPLANALP
408	BRUZEWSKI; MANIER
409	AILIFF; BEARFIELD; BLANCHET
410	TOEDEBUSCH; WHISNER; RITER; LACH
411	EMPTY
412	SIECK
413	RABASCA; WEEMES; LACK
414	EMPTY
415	HULON; CANADY
416	ZMIEJKO; RANKE
417	EMPTY
418	EMPTY
419	EMPTY
420	VIGLIOTTI
421	EMPTY
422	HRDLICKA
423	DURAND
424	NYHAN
425	ROXAS
426	EMPTY
427	CUSTEAU; SLENKER; LACY
428	LACZ; LODHOLZ; AFSHARI
429	DEVICH
430	KRAKOWIAK; RANKS; WAHLGREN
431	EMPTY
432	DEVICK
433	BONDER
434	EMPTY
435	ROCHHOLZ; PLUNKETT
436	EMPTY
437	EMPTY
438	MAZUC; QUAINTANCE
439	KEARSEY; POLEE; DURANT
440	EMPTY
441	EMPTY
442	OSENDORF; MUSICH
443	CARIVEAU; GITTHENS; BRANDENBERGER
444	MACCARONE
445	POLEK; MUSICK
446	EMPTY
447	OLLISON; MACE
448	SPARHAWK; POLEN
449	EMPTY
450	MAZUO; CALLEGARI; WHITNER; MACH
451	KEEHNER
452	EMPTY
453	GLEICHWEIT; POLES; PABON; MAZUR; MACK
454	EMPTY
455	MATSKIN
456	EMPTY
457	MACO; WHITNEY
458	MIKOS
459	MAHAFFY; POLEY
460	WALLMAN; SEUBERT
461	EMPTY
462	EMPTY
463	EMPTY
464	SOSNOWSKI; SOBOTA
465	HEATHERSHAW; ZBORAL
466	EMPTY
467	FINUCAN; MEEDER; MACY; SEAMAN
468	FERNHOLZ; WEGLARZ
469	BRZOSTEK
470	EMPTY
471	HLYWA
472	KUSZYNSKI; DEWICK; HILPERT; AHERNS
473	EMPTY
474	FICKLING; SIGNORELLI
475	EMPTY
476	FRANCOLINO
477	EMPTY
478	EMPTY
479	EMPTY
480	BARDA; COLASACCO
481	HATZENBUEHLER
482	SEAGO
483	KANZENBACH
484	BARDE
485	WAUCH
486	EMPTY
487	NACE
488	RODAMIS
489	EMPTY
490	EMPTY
491	EMPTY
492	VANVLEET; TRAINOR
493	PRUCNAL; IULIANO; NACK
494	BARDO
495	KOCON
496	OSHEA
497	MCCONNEL
498	EMPTY
499	SECKINGTON
500	EMPTY
501	CUTHRELL
502	DEREGO; RIDGELL
503	ALBERSON; WHELESS
504	EMPTY
505	LITANO; ALMA
506	MIGLORIE; MUHLESTEIN; DEBRUIN
507	NACY; MCQUAY
508	EMPTY
509	ALME
510	MAGISTRALE; MCCONNEY
511	SARKA; LILLICH
512	SCHWEER
513	OSHER
514	LILLICK; MCMANUS
515	EMPTY
516	EMPTY
517	EMPTY
518	DELAGARZA
519	EMPTY
520	OSHEY; SHIFFLETT
521	GALACIO
522	SAMRAH
523	EMPTY
524	ONDIC; TUSTIN
525	KEPPERS
526	CRAPSER; PISCOPO
527	EMPTY
528	HAGGBERG; BOCOOK
529	SARKS; ALMY
530	KENNON
531	BERGAMINE; SJULSTAD
532	ONDIK; TOLAYO
533	MACNAUGHTON; PAPAZIAN
534	AVE
535	LATASSA; KLEINKNECHT; BERGAMINI
536	MACHALA
537	EMPTY
538	EMPTY
539	EMPTY
540	EMMANUEL
541	FLAHARTY
542	EMPTY
543	LABREC
544	MCCLIMON
545	TANNOUS; LABREE
546	EMPTY
547	RICCIARDELLI; PUNTER
548	VIVANCO
549	JELLEY
550	ROACH
551	WELBURN; RIESENBERG; HAGEMANN
552	EMPTY
553	OTHER; SCHEAR
554	EMPTY
555	NEIBERT
556	ENKE
557	EMPTY
558	WIDLAK
559	EMPTY
560	EMPTY
561	EMPTY
562	WEHRING; DUCKWORTH
563	TARKOWSKI; DOBIAS
564	MARIEN
565	EMPTY
566	EMPTY
567	PACE
568	MARIER
569	PUNCH
570	PACH; RISKIN; BARTIMUS; ALDERMAN
571	PACI
572	SMECK; WEIMER
573	PACK
574	EMPTY
575	ALMSTEAD; KISSEE
576	EMPTY
577	PRISOC; PACO
578	MUNCIE
579	EMPTY
580	EMPTY
581	EMPTY
582	KISSEL
583	ZUFALL
584	VIVION
585	JARMIN; MUNCIL
586	RENKO; KUZMA
587	SEDMAN
588	KISSER
589	BORDEN
590	ZETTLER
591	CASADA; CALLISON
592	EMPTY
593	CUSSEN; BORDER
594	FINSTER; GUEVARRA; BORDES; GOTTLIEB
595	EMPTY
596	EMPTY
597	EMPTY
598	MANZIE
599	SAINES; ALLSBROOK
600	EMPTY
601	LOUNDS
602	WEISDORFER
603	WASEM
604	PRAMUK
605	STETZENBACH; CASADO
606	WILLIMON; BILLINGSLEA
607	EMPTY
608	WASER
609	EMPTY
610	MCNICOL
611	EMPTY
612	SMILING
613	EMPTY
614	KOENEMAN
615	BRANAGAN; FORTNA; CASADY
616	EMPTY
617	EMPTY
618	MIDCAP; STIEHL
619	STIEHM
620	SEUFERT
621	ABASCAL
622	EMPTY
623	KAMIYA; FORBACH
624	EMPTY
625	CAULLEY; HATCHITT; JASMIN
626	CRUIKSHANK
627	FECHER; SEEMAN
628	EMPTY
629	JABAUT; FROYD; STAUFENBERGER
630	GLOSSER; BILLINGSLEY; MCCULLOUGH
631	WICKWIRE; TIGER
632	EMPTY
633	EMPTY
634	EMPTY
635	GUIMARES; NEIDERT
636	OTEX; LODEIRO
637	TAAKE; OTEY
638	EMPTY
639	EMPTY
640	PIPPENS
641	EMPTY
642	EMPTY
643	EMPTY
644	EMPTY
645	POCEKAY; GENUARIO; TOKAR; NEMBHARD
646	ROTEN
647	PASSE; RACE
648	MATIER
649	SANTIBANEZ
650	RACH
651	PASSI
652	BARBIERE; TOKAY
653	RACK
654	EMPTY
655	REICHENBERG; VANDERSCHEL
656	BETHUNE; BARBIERI
657	CODDING; RACO
658	EMPTY
659	EMPTY
660	DECLUE
661	KIEFERT
662	EMPTY
663	OPHEIM; DOMINQUEZ
664	BERDY
665	PROTICH
666	POLITANO
667	BARBINI; PASSY; MACKALL
668	RACZ
669	SCHRAMECK; IWAMOTO
670	ANTONUCCI
671	SPICKERMAN
672	EMPTY
673	BOUYEA; KUCINSKI
674	EMPTY
675	TERADA
676	EMPTY
677	ONDRUSEK; GOLONKA
678	EMPTY
679	ELMO
680	GYLLENBAND
681	EMPTY
682	EMPTY
683	DEFORGE; ELMS
684	SANDSTEDE
685	EMPTY
686	MEDIATE; SPECE
687	ROHALEY
688	MCGLATHERY
689	KAERCHER; PULEO
690	RIVKIN; BLOXOM; BOUYER
691	EMPTY
692	SPECK
693	SACK
694	KASPERSKI; PURTEE
695	LATESSA; KOSMOWSKI
696	EMPTY
697	STEALY
698	EMPTY
699	SANDSTEDT
700	DELAGRANGE; GREENFELD
701	FLAHERTY
702	ODEGARD
703	EMPTY
704	EMPTY
705	EMPTY
706	ALTERMATT
707	PURTER; HARGRAVE
708	EMPTY
709	HOBAUGH
710	EMPTY
711	HILVERS
712	EMPTY
713	VITTORINI
714	EMPTY
715	NEIFERT
716	NEILING; FRIBERG
717	EMPTY
718	OPOIEN
719	GRIFFTH
720	EASTRIDGE
721	EMPTY
722	WRIGHTS
723	LOEURM; DRIESENGA
724	EMPTY
725	LORENZETTI
726	EMPTY
727	WETHERINGTON
728	EMPTY
729	VAKIL
730	INKS
731	LIZANA
732	MASTRIANNA; KUFELDT; SKIBICKI; WEMMER; XU
733	TACK
734	MURCIA
735	EMPTY
736	RINKE
737	DUBBERT
738	GLECKLER
739	EMPTY
740	MASTRIANNI; TRESSEL
741	WAKINS
742	KIENING; VALERINO
743	EMPTY
744	EMPTY
745	TIEGS; STRIDE
746	BHASKAR
747	SEIBERLING; KOBRIN; MELDER; TACY
748	EMPTY
749	EMPTY
750	FRANGIONE; FRIDLINGTON; RINKS; SANON
751	MONSERRAT; WICHER
752	SAMANTHA; NEGRANA
753	EMPTY
754	SANOR
755	SANOS; THAMMAVONGSA
756	EMPTY
757	EMPTY
758	WOODCOX
759	LYKKE
760	EMPTY
761	MERHAR; ROSETTIE; GONSIEWSKI
762	EMPTY
763	CUCCINELLO; MALAMA
764	EMPTY
765	EMPTY
766	HOOFARD
767	EMPTY
768	WESER
769	EMPTY
770	MEESKE; BOWYER
771	KLEVJER; MINCHOW; OLSON
772	LOERTSCHER; DINGWALL
773	STEA; KONZAL
774	ALQUESTA; EPPINETTE
775	SCHAEN; STEC
776	EMPTY
777	VERHULST; SUGAI
778	PIKKARAINEN
779	SCHAER
780	HOAGLUND; WALTMAN
781	EMPTY
782	EMPTY
783	PORTALATIN
784	BRAITHWAITE
785	STEM
786	STEN; SUGAR
787	LOCKERY; MIYAHARA
788	STEP
789	ROEKLE; ANGOTTI; BOWDEN
790	CRIVELLI; STER; SAGASER
791	POLLITT
792	MUSCHICK
793	EMPTY
794	LAHREN
795	SKWARA
796	ESPONDA; CRIVELLO; ROBINS
797	EMPTY
798	SANNER
799	SANNES; THEODOROV
800	EMPTY
801	EMPTY
802	LUEBANO
803	VACA
804	JACOBOVITS; HITTLE; OROSCO
805	KRAMER
806	ZIEDAN
807	MORDEHAY; MUMMA; WAGERS
808	FARMER
809	BISTODEAU
810	CALLICOTT
811	VACI; MUMME
812	EMPTY
813	EMPTY
814	BIRDO
815	EMPTY
816	GIANNAVOLA; KORUS
817	PESSO
818	EMPTY
819	EMPTY
820	YAFEI
821	GIANGROSSO; MENDEL
822	BRONSTAD
823	FORGACH; MENDEN; AKIYAMA
824	WIECHEC
825	LUCHERINI; ANABLE; CURNUTTE
826	EMPTY
827	MENDER; GALICIA
828	KASSEBAUM; MENDES
829	FOERSTERLING; BERTOLI
830	EMPTY
831	EMPTY
832	TURNOW
833	EMPTY
834	MULROY
835	SHUFFLEBURG; TEVADA; MENDEZ
836	MAZARIEGO
837	EMPTY
838	EMPTY
839	CIVITELLO
840	EMPTY
841	DIEMOZ
842	URQUIZA
843	OPIE
844	EMPTY
845	VAIKO; SIRKO
846	EMPTY
847	KRUMINS
848	RUDISELL; SCHNUERER; GALLEGO
849	STECH
850	TRUSSO; BULICK; WACH
851	DEYETTE; JACOBOWITZ
852	STECK
853	VLAHOVICH; WACK; PYLES
854	HOPKINS
855	EMPTY
856	BENCKENDORF
857	EMPTY
858	NOGODA; RODINA
859	KOLODZIK
860	EMPTY
861	EMPTY
862	RODINE
863	CLISHAM; ARONSON
864	KOBASHIGAWA; STOEHR
865	TRICE
866	MALTON
867	SANTORA
868	EMPTY
869	TIMBROOK; BOYDEN
870	EMPTY
871	ZUMALT; TRICK; MALTOS; SANTORE
872	RODINO; SHUFFORD
873	EMPTY
874	EMPTY
875	EMPTY
876	WORSHAM
877	THIELMAN
878	MYTYCH
879	DEEDS
880	EMPTY
881	SANTORO
882	EMPTY
883	NEWMEYER
884	EMPTY
885	NEVILL; CHADD; BARBERA; SMTIH
886	EMPTY
887	EMPTY
888	EMPTY
889	EMPTY
890	FRILING; KRENNING; RUTER
891	SANTORY
892	NEVILS; MCALISTER
893	DASILUA; BARBERI
894	MUNROE
895	EMPTY
896	GLASSBURN
897	EMPTY
898	EMPTY
899	BARBERO
900	WALICKI; BORSKI
901	GILRUTH
902	BARBERR
903	LECOCQ
904	EMPTY
905	CAUSLEY
906	EMPTY
907	SELMAN
908	MARCKS; KRETSCHMAN
909	EMPTY
910	EMPTY
911	EMPTY
912	TROVILLION
913	SCHRUBBE
914	JANSONS; CONZEMIUS
915	BLECHINGER; MISHULOUIN; TEXADA
916	WORTHAM
917	THAKE; WORTHAN
918	EMPTY
919	EMPTY
920	EMPTY
921	CROSSFIELD
922	EMPTY
923	VANAPRASERT; MAZUREK
924	HICKERNELL
925	AMISTADI; NEWILL
926	EMPTY
927	EMPTY
928	WISER
929	SCOCCA
930	YACH
931	EMPTY
932	PRIMUS; DIGBY
933	OSUMI
934	EMPTY
935	BRANIGAN
936	HLASTALA
937	SUEYOSHI; LEAMER; SANTELLANA
938	EMPTY
939	DERROW
940	EMPTY
941	CARBONELLA; PFROGNER
942	YAMBAO
943	EMPTY
944	EMPTY
945	EMPTY
946	MANTON
947	KNAPPER
948	EMPTY
949	KINION
950	ZENZEN
951	KLEIBOEKER
952	EMPTY
953	GUYMON
954	EMPTY
955	BERLINGHOF
956	EMPTY
957	MEYSEMBOURG; PROSCIA; CANTARANO
958	LULOFF
959	SARNES; DIMODICA; CUTRIGHT
960	WOOLEMS
961	KREMEN; GIRLING
962	EMPTY
963	EMPTY
964	EMPTY
965	KREMER
966	EMPTY
967	EMPTY
968	EMPTY
969	CYRNEK
970	ONKS; ZACH; BULGER
971	KOEPKE
972	DESILETS
973	ZACK
974	EMPTY
975	KUCHAN
976	RIJOS
977	CODLING; BYINGTON
978	STREHL; LINEBARGER
979	KUCHAR
980	EMPTY
981	RADUE
982	EMPTY
983	KELIIPAAKAUA
984	EMPTY
985	EMPTY
986	EMPTY
987	BYUN
988	EMPTY
989	EMPTY
990	EMPTY
991	GORDINEER
992	BYUS; KIMBALL
993	EMPTY
994	SHAUER
995	MACDONALD
996	EMPTY
997	SCORDATO
998	EMPTY
999	MURTAUGH
1000	ILARRAZA; STANZAK
1001	EMPTY
1002	EMPTY
1003	STEPRO
1004	EMPTY
1005	EMPTY
1006	SYLVESTER
1007	EMPTY
1008	EMPTY
1009	WARING
1010	JEBBETT; ROBERG; MAGNUS
1011	ORSON
1012	BOUSKA
1013	DEVILLIER
1014	MOLAISON; NIEDERKORN
1015	EMPTY
1016	EMPTY
1017	EMPTY
1018	PASTERNAK
1019	EMPTY
1020	EMPTY
1021	EMPTY
1022	ROBERS; BORDELON
1023	ROBERT
1024	EMPTY
1025	HABBS; DIEDE
1026	CHAULK
1027	EMPTY
1028	DELLUM; KONYE
1029	EMPTY
1030	SCOVEL
1031	EMPTY
1032	EMPTY
1033	MAYFIELD
1034	EMPTY
1035	SACCUCCI
1036	KJOS
1037	BARKINS; KONYN
1038	EMPTY
1039	EMPTY
1040	BORDA
1041	EMPTY
1042	MACKOWSKI; HOPPING
1043	MOEUY; BIELAWSKI
1044	BORDE
1045	EMPTY
1046	EMPTY
1047	EMPTY
1048	BORDI
1049	EMPTY
1050	BUNGER
1051	EMPTY
1052	ROWLETTE
1053	ESCAMILLA
1054	HOPPINS
1055	EMPTY
1056	ACQUAVIVA
1057	EMPTY
1058	PENNISI; FERREYRA
1059	EMPTY
1060	EMPTY
1061	KIEPERT
1062	HELSCHER
1063	WOODRUM
1064	MCCAUL; MCNERNEY
1065	OLMA
1066	CREEDON; BELASCO
1067	EMPTY
1068	THIELE
1069	BOLLIGER
1070	MALEHORN; HASENFUSS; SINON
1071	EMPTY
1072	KEBLISH; MURROW; STAGE
1073	EMPTY
1074	SINOR; STAGG
1075	EMPTY
1076	EMPTY
1077	EMPTY
1078	MAZZIE
1079	CACHOLA; OLMO
1080	PIQUE; ARNDT
1081	OREGON; CAICEDO
1082	DRESCH
1083	EMPTY
1084	EMPTY
1085	MILHOUS
1086	MELOCHE
1087	BURICH; REIGSTAD
1088	EMPTY
1089	CLYMORE
1090	BURICK
1091	VALCHO
1092	EMPTY
1093	EMPTY
1094	YEANEY; GUADAGNO
1095	EMPTY
1096	EMPTY
1097	DONALDSON
1098	RODERO; DEAHL
1099	TROESCH
1100	EMPTY
1101	TREGO
1102	DAUGHRITY
1103	EMPTY
1104	EMPTY
1105	SANDERMAN
1106	MARTON
1107	ATHANASIOU; MCGOVERN
1108	GERLEMAN
1109	SAWATZKE
1110	TREVARTHEN
1111	MARTOS; SCHAMMEL
1112	EMPTY
1113	SAWATZKI
1114	KIRSHNER
1115	BUCZYNSKI
1116	SUMABAT
1117	THIERMAN
1118	EMPTY
1119	EMPTY
1120	EMPTY
1121	EMPTY
1122	EMPTY
1123	HAENER; SCHOEPFER
1124	EMPTY
1125	EMPTY
1126	EMPTY
1127	JACKSITS
1128	EMPTY
1129	SAWATZKY; FALCON
1130	BUSICK
1131	EMPTY
1132	TRAYNOR
1133	EMPTY
1134	BUSICO
1135	EMPTY
1136	EMPTY
1137	EMPTY
1138	EMPTY
1139	EMPTY
1140	EMPTY
1141	EMPTY
1142	EMPTY
1143	ALBERTA
1144	EMPTY
1145	LIESMANN
1146	MASTON; ELIZALDE
1147	EMPTY
1148	TILLSON
1149	ECKMAN
1150	SUGARMAN; WESTERBERG
1151	BOLOGNESE; ALBERTI
1152	EMPTY
1153	MUSSMANN
1154	EMPTY
1155	LARRIUZ; REDUS
1156	EMPTY
1157	SCHUB; ALBERTO
1158	ROSENFIELD
1159	EMPTY
1160	CILFONE; STOFFREGEN; SCHUE; SICILIAN; STALVEY
1161	ALBERTS
1162	SCHUG
1163	SCHUH; HAFNER
1164	EJIDE; FRISINA
1165	SAWNEY
1166	BANCHERO
1167	SCHUL; ALBERTY
1168	WRUCK; SCHUM
1169	EMPTY
1170	KOENECKE
1171	MIECZKOWSKI; KINDELL; COLMENERO
1172	MORGRET; MASCHMEYER
1173	FREIMUTH; SCHUR; SEMIEN
1174	EMPTY
1175	SCHUT
1176	AINSCOUGH
1177	EMPTY
1178	FRISINO; SNELLEN
1179	EMPTY
1180	EMPTY
1181	LARREA
1182	SNELLER
1183	MIRAFUENTES; ALGIRE; DELISIO; WRIGHTSMAN; SMATHERS
1184	TERHERST; MCFAUL; ROLING
1185	GOLUBA
1186	MATTON; COADY
1187	EMPTY
1188	GRAMMONT
1189	EMPTY
1190	EMPTY
1191	MATTOS
1192	VALCARCEL
1193	HILLABUSH; STUHLSATZ
1194	ZETZER; CLIZBE
1195	FUHRMANN
1196	ROLINS; MATTOX
1197	BUDROW
1198	DORIAN
1199	EMPTY
1200	SUTIC; STASZAK
1201	EMPTY
1202	EMPTY
1203	HAGNER
1204	EMPTY
1205	UNKN
1206	BURGEN; ALIZADEH
1207	DOMINOWSKI; POSSE
1208	SCARFONE
1209	BEHNE
1210	BURGER
1211	SAWALLICH; BURGES
1212	BURGET
1213	EMPTY
1214	EMPTY
1215	EMPTY
1216	ROJOS; OSTERFELD
1217	LEHMER; BURGEY; POSSO
1218	SENGBUSCH; BUYS
1219	MINTEN; OUTLAW
1220	EMPTY
1221	EMPTY
1222	BUCKLIN; ROMINE; ROGERS
1223	MINTER
1224	MAFFETT
1225	EMPTY
1226	EMPTY
1227	HYUN
1228	LAMOREAUX
1229	EMPTY
1230	MINTEY
1231	BUECHELE
1232	LIEBENOW; BUCKHOLZ
1233	EMPTY
1234	FRITZE
1235	PLUMADORE; SEATON
1236	BUCHMANN; MCCUTCHAN
1237	EMPTY
1238	EMPTY
1239	EMPTY
1240	KIRSCHKE
1241	EMPTY
1242	EMPTY
1243	DOHOGNE; GWINNER; DILLEHAY; HAHNER
1244	EMPTY
1245	EMPTY
1246	EMPTY
1247	CRATION
1248	EMPTY
1249	OROSZ
1250	WALZIER
1251	EMPTY
1252	EMPTY
1253	EMPTY
1254	FINGAL; CRISMAN
1255	EMPTY
1256	KOPCZYNSKI
1257	LEIMER
1258	EMPTY
